paper_id,pmid,variable_id,final_value,human_confirmation
C01,38355517,repeated_runs_per_input,NR,accepted_all_by_two_reviewers
C01,38355517,system_prompt_reported,NR,accepted_all_by_two_reviewers
C02,39842028,bias_assessed,Y,accepted_all_by_two_reviewers
C02,39842028,error_definition_reported,NR,accepted_all_by_two_reviewers
C02,39842028,hallucination_assessed,NR,accepted_all_by_two_reviewers
C02,39842028,omission_assessed,N,accepted_all_by_two_reviewers
C02,39842028,potential_harm_assessed,NA,accepted_all_by_two_reviewers
C02,39842028,system_prompt_reported,NR,accepted_all_by_two_reviewers
C03,40999587,actionability_or_critical_error,NR,accepted_all_by_two_reviewers
C03,40999587,contradiction_assessed,NR,accepted_all_by_two_reviewers
C03,40999587,hallucination_assessed,NR,accepted_all_by_two_reviewers
C03,40999587,llm_as_judge_used,NR,accepted_all_by_two_reviewers
C03,40999587,omission_assessed,NR,accepted_all_by_two_reviewers
C03,40999587,potential_harm_assessed,NA,accepted_all_by_two_reviewers
C03,40999587,system_prompt_reported,NR,accepted_all_by_two_reviewers
C04,41039969,error_definition_reported,NR,accepted_all_by_two_reviewers
C04,41039969,escalation_or_abstention_reported,NA,accepted_all_by_two_reviewers
C04,41039969,fairness_subgroups_assessed,NA,accepted_all_by_two_reviewers
C04,41039969,interrater_reliability_reported,NR,accepted_all_by_two_reviewers
C04,41039969,llm_as_judge_used,NR,accepted_all_by_two_reviewers
C04,41039969,omission_assessed,N,accepted_all_by_two_reviewers
C04,41039969,potential_harm_assessed,NA,accepted_all_by_two_reviewers
C04,41039969,reviewers_blinded,NR,accepted_all_by_two_reviewers
C04,41039969,reviewers_independent,NR,accepted_all_by_two_reviewers
C05,41184207,actionability_or_critical_error,NR,accepted_all_by_two_reviewers
C05,41184207,citation_error_assessed,NR,accepted_all_by_two_reviewers
C05,41184207,contradiction_assessed,NR,accepted_all_by_two_reviewers
C05,41184207,judge_bias_control_reported,NA,accepted_all_by_two_reviewers
C05,41184207,judge_human_validation,NA,accepted_all_by_two_reviewers
C05,41184207,judge_independence_addressed,NA,accepted_all_by_two_reviewers
C05,41184207,llm_as_judge_used,N,accepted_all_by_two_reviewers
C06,41719523,fairness_subgroups_assessed,NA,accepted_all_by_two_reviewers
C06,41719523,interrater_reliability_reported,NR,accepted_all_by_two_reviewers
C06,41719523,omission_assessed,N,accepted_all_by_two_reviewers
C07,39094112,citation_error_assessed,NR,accepted_all_by_two_reviewers
C07,39094112,hallucination_assessed,NR,accepted_all_by_two_reviewers
C07,39094112,interrater_reliability_reported,NA,accepted_all_by_two_reviewers
C07,39094112,llm_as_judge_used,N,accepted_all_by_two_reviewers
C07,39094112,potential_harm_assessed,NR,accepted_all_by_two_reviewers
C08,40663377,actionability_or_critical_error,NR,accepted_all_by_two_reviewers
C08,40663377,contradiction_assessed,NR,accepted_all_by_two_reviewers
C08,40663377,escalation_or_abstention_reported,NA,accepted_all_by_two_reviewers
C08,40663377,fairness_subgroups_assessed,NR,accepted_all_by_two_reviewers
C08,40663377,omission_assessed,N,accepted_all_by_two_reviewers
C08,40663377,output_samples_available,1_selected_examples,accepted_all_by_two_reviewers
C08,40663377,prompts_available,1_partial_or_on_request,accepted_all_by_two_reviewers
C08,40663377,repeated_runs_per_input,N,accepted_all_by_two_reviewers
C08,40663377,sensitive_upload_addressed,Y,accepted_all_by_two_reviewers
C08,40663377,system_prompt_reported,NR,accepted_all_by_two_reviewers
C09,41859530,contradiction_assessed,NR,accepted_all_by_two_reviewers
C09,41859530,harm_severity_graded,NR,accepted_all_by_two_reviewers
C09,41859530,potential_harm_assessed,N,accepted_all_by_two_reviewers
C10,41860987,escalation_or_abstention_reported,NR,accepted_all_by_two_reviewers
C10,41860987,omission_assessed,NR,accepted_all_by_two_reviewers
C10,41860987,repeated_runs_per_input,NA,accepted_all_by_two_reviewers
C10,41860987,reviewers_blinded,NA,accepted_all_by_two_reviewers
C10,41860987,system_prompt_reported,N,accepted_all_by_two_reviewers
C11,42041943,actionability_or_critical_error,NR,accepted_all_by_two_reviewers
C11,42041943,citation_error_assessed,NR,accepted_all_by_two_reviewers
C11,42041943,harm_severity_graded,NR,accepted_all_by_two_reviewers
C11,42041943,judge_bias_control_reported,NR,accepted_all_by_two_reviewers
C11,42041943,judge_human_validation,NR,accepted_all_by_two_reviewers
C11,42041943,judge_independence_addressed,NR,accepted_all_by_two_reviewers
C11,42041943,omission_assessed,NR,accepted_all_by_two_reviewers
C11,42041943,potential_harm_assessed,NR,accepted_all_by_two_reviewers
C11,42041943,reference_standard_formation_reported,NR,accepted_all_by_two_reviewers
C11,42041943,reference_standard_method,NA,accepted_all_by_two_reviewers
C11,42041943,reviewers_blinded,NR,accepted_all_by_two_reviewers
C12,42228937,error_definition_reported,NR,accepted_all_by_two_reviewers
C12,42228937,prompts_available,0_unavailable,accepted_all_by_two_reviewers
C12,42228937,reference_standard_formation_reported,Y,accepted_all_by_two_reviewers
C12,42228937,reference_standard_method,human_output,accepted_all_by_two_reviewers
C12,42228937,repeated_runs_per_input,NR,accepted_all_by_two_reviewers
C12,42228937,reviewers_blinded,NR,accepted_all_by_two_reviewers
C12,42228937,system_prompt_reported,NR,accepted_all_by_two_reviewers
