pilot_sequence,pmid,doi,first_author,publication_year,title,pilot_phase,exclusion_reason
PILOT-01,40730086,10.1016/j.nepr.2025.104488,,,AI or nay? Evaluating the potential use of ChatGPT and Perplexity AI in undergraduate nursing research: An exploratory case study,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-02,37130197,10.1097/NNE.0000000000001436,,,Can ChatGPT Accurately Answer a PICOT Question? Assessing AI Response to a Clinical Question.,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-03,37994523,10.1097/NNE.0000000000001566,,,Reliability and Quality of the Nursing Care Planning Texts Generated by ChatGPT.,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-04,39397290,10.1515/ijnes-2023-0098,,,AI-generated vs. student-crafted assignments and implications for evaluating student work in nursing: an exploratory reflection.,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-05,40763202,10.1097/CIN.0000000000001351,,,Assessing Artificial Intelligence to Support Grant Evaluation in Nursing Education.,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-06,41778652,10.1097/WON.0000000000001259,,,Using Explainable Artificial Intelligence in a Systematic Literature Review of Pressure Injury Prevention: Lessons Learned.,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-07,41587455,10.2196/82026,,,Multi-Evidence Clinical Reasoning With Retrieval-Augmented Generation for Emergency Triage: Retrospective Evaluation Study,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-08,,10.1109/BigData66926.2025.11402164,,,Development and Evaluation of an Agentic RAG with Embedded LLM-as-a Judge for Heart Failure Management: A Pilot Study,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-09,39009780,10.1038/s41591-024-03148-7,,,Outpatient reception via collaboration between nurses and a large language model: a randomized controlled trial.,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-10,42133866,10.2196/81606,,,Use of Commercially Available Large Language Models to Generate Information Leaflets on Post–Intensive Care Syndrome: Clinical Utility Assessment,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-11,41980854,10.1136/bmjopen-2025-112695,,,Generative artificial intelligence-driven chatbots and medical misinformation: an accuracy referencing and readability audit,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-12,41905130,10.1016/j.nepr.2026.104789,,,Secure and accessible AI in nursing education: A modular agentic chatbot framework comparing ChatGPT-4o with an open-source LLM for chronic wound care,Pilot retest RC3 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-13,42497362,10.2196/97802,,2026,Performance of Large Language Models for Oncology Nursing Decision Support: Cross-Sectional Study,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-14,42391223,10.1371/journal.pone.0353059,,2026,From knowledge to judgment: A three-year longitudinal analysis of artificial intelligence large language model performance on the Chinese national nurse licensing examination,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-15,42069581,10.1186/s12912-026-04702-z,,2026,"Comparative performance of artificial intelligence models in intensive care nursing questions: an evaluation of ChatGPT, DeepSeek, and Google Gemini",Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-16,42269186,10.1016/j.pedn.2026.06.004,,2026,"Comparison of the performance of ChatGPT Plus, Gemini Pro, and experienced nurses in pediatric emergency triage using physician reference assessment: A prospective observational study",Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-17,41520587,10.1016/j.nepr.2026.104710,,2026,A large language model-powered reflective AI agent for evidence-based nursing education: Design and evaluation,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-18,42391742,10.1016/j.ienj.2026.101868,,2026,Can AI improve triage quality? A preliminary assessment of ChatGPT performance in evaluating triage decisions,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-19,41761913,10.1002/nop2.70441,,2026,Evaluation of Information Generated by ChatGPT on Preventing Peripheral Venous Catheter-Related Infections,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-20,40417556,,,2025,Generative AI Demonstrated Difficulty Reasoning on Nursing Flowsheet Data,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-21,41311033,10.1111/inr.70135,,2025,Evaluation of ChatGPT-4 Gemini Claude and Copilot in Generating Nursing Diagnoses Based on NANDA-I Taxonomy II,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-22,41367595,10.1016/j.ijnss.2025.10.005,,2025,Nursing Retrieval-Augmented Generation: Retrieval augmented generation for nursing question answering with large language models,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-23,41343106,10.1007/s41999-025-01369-8,,2025,AI-assisted PEG aftercare education for older adults: clinician-informed chatbot design (PEGAssist),Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-24,37538021,10.1111/jpm.12965,,2023,Could artificial intelligence write mental health nursing care plans?,Pilot retest RC4 core,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
PILOT-25,42110276,10.3389/fpubh.2026.1740254,,2026,Evaluation of large language models for nursing support in maternal venous thromboembolism care,Pilot retest RC4 supplemental,Preliminary feasibility piloting and instrument calibration prior to frozen Protocol v1.0
