paper_id,pmid,variable_id,coder_a_value,coder_b_value
C01,38355517,actionability_or_critical_error,NR,NR
C01,38355517,bias_assessed,NR,NR
C01,38355517,citation_error_assessed,NA,NA
C01,38355517,contradiction_assessed,NR,NR
C01,38355517,error_definition_reported,Y,Y
C01,38355517,escalation_or_abstention_reported,NA,NA
C01,38355517,fairness_subgroups_assessed,NA,NA
C01,38355517,hallucination_assessed,NR,NR
C01,38355517,harm_severity_graded,NA,NA
C01,38355517,instrument_available,NA,NA
C01,38355517,interrater_reliability_reported,NA,NA
C01,38355517,judge_bias_control_reported,NA,NA
C01,38355517,judge_human_validation,NA,NA
C01,38355517,judge_independence_addressed,NA,NA
C01,38355517,llm_as_judge_used,N,N
C01,38355517,omission_assessed,NA,NA
C01,38355517,output_samples_available,1_selected_examples,1_selected_examples
C01,38355517,potential_harm_assessed,N,N
C01,38355517,prompts_available,1_partial_or_on_request,1_partial_or_on_request
C01,38355517,reference_standard_formation_reported,NR,NR
C01,38355517,reference_standard_method,answer_key,answer_key
C01,38355517,repeated_runs_per_input,N,NR
C01,38355517,reviewers_blinded,NA,NA
C01,38355517,reviewers_independent,NA,NA
C01,38355517,sensitive_upload_addressed,NA,NA
C01,38355517,system_prompt_reported,NR,NA
C02,39842028,actionability_or_critical_error,NR,NR
C02,39842028,bias_assessed,Y,NR
C02,39842028,citation_error_assessed,NA,NA
C02,39842028,contradiction_assessed,NR,NR
C02,39842028,error_definition_reported,NR,Y
C02,39842028,escalation_or_abstention_reported,NA,NA
C02,39842028,fairness_subgroups_assessed,NA,NA
C02,39842028,hallucination_assessed,NR,N
C02,39842028,harm_severity_graded,NA,NA
C02,39842028,instrument_available,NA,NA
C02,39842028,interrater_reliability_reported,NA,NA
C02,39842028,judge_bias_control_reported,NA,NA
C02,39842028,judge_human_validation,NA,NA
C02,39842028,judge_independence_addressed,NA,NA
C02,39842028,llm_as_judge_used,N,N
C02,39842028,omission_assessed,NA,N
C02,39842028,output_samples_available,0_unavailable,0_unavailable
C02,39842028,potential_harm_assessed,N,NA
C02,39842028,prompts_available,1_partial_or_on_request,1_partial_or_on_request
C02,39842028,reference_standard_formation_reported,NR,NR
C02,39842028,reference_standard_method,answer_key,answer_key
C02,39842028,repeated_runs_per_input,Y,Y
C02,39842028,reviewers_blinded,NA,NA
C02,39842028,reviewers_independent,NA,NA
C02,39842028,sensitive_upload_addressed,NA,NA
C02,39842028,system_prompt_reported,NR,NA
C03,40999587,actionability_or_critical_error,N,NR
C03,40999587,bias_assessed,NR,NR
C03,40999587,citation_error_assessed,NA,NA
C03,40999587,contradiction_assessed,N,NR
C03,40999587,error_definition_reported,Y,Y
C03,40999587,escalation_or_abstention_reported,NA,NA
C03,40999587,fairness_subgroups_assessed,NA,NA
C03,40999587,hallucination_assessed,NR,NA
C03,40999587,harm_severity_graded,NA,NA
C03,40999587,instrument_available,NA,NA
C03,40999587,interrater_reliability_reported,NA,NA
C03,40999587,judge_bias_control_reported,NA,NA
C03,40999587,judge_human_validation,NA,NA
C03,40999587,judge_independence_addressed,NA,NA
C03,40999587,llm_as_judge_used,N,NR
C03,40999587,omission_assessed,N,NA
C03,40999587,output_samples_available,0_unavailable,0_unavailable
C03,40999587,potential_harm_assessed,N,NA
C03,40999587,prompts_available,2_complete_public,2_complete_public
C03,40999587,reference_standard_formation_reported,NR,NR
C03,40999587,reference_standard_method,answer_key,answer_key
C03,40999587,repeated_runs_per_input,N,N
