variable_id,domain,label,analysis_level,data_type,allowed_values,applicability,operational_definition,evidence_requirement,reliability_method,critical
eligibility_confirmed,资格,全文资格复核,paper,nominal,Y|N,all,按纳排手册逐项复核研究对象、任务、输出、设计和年份；仅全部满足时记Y，否则记N；每个判定必须引用全文定位，不以摘要单独替代全文复核；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,记录支持或排除理由及定位,Cohen_kappa_and_AC1,Y
study_family_id,基本信息,研究族编号,paper,text,free_text,all,同一底层数据或研究项目使用相同稳定编号；无关联论文时统一写single:<PMID>；存在关联但无法识别稳定编号时写family:<第一作者姓>-<年份>；不得混用NR、论文题名和临时备注,记录关联论文依据,exact_match,N
publication_year,基本信息,发表年份,paper,integer,2022:2100,all,以正式发表年为准；仅在线发表时用在线年,文献首页或PubMed,ICC_A1,N
country,基本信息,研究实施国家或地区,paper,text,ISO_or_reported,all,按数据来源或实施地点编码，优先ISO 3166-1 alpha-2；多国按代码排序后用分号分隔；不得以作者单位替代实施地点；完整文本无法确定时写NR,方法部分,exact_match,N
task_type,基本信息,护理任务类型,paper,nominal,documentation_handover|care_plan_diagnosis|decision_triage|patient_education_QA|nursing_exam|education_simulation|other,all,按主要被评价生成任务选择；多任务主类放此处并在备注列说明,目的和方法,Cohen_kappa_and_AC1,N
setting_type,基本信息,评价环境,paper,nominal,live_workflow|real_data_offline|simulation_synthetic|education_exam|mixed,all,按输出产生时的使用环境编码：真实临床流程且影响当时照护为live_workflow；真实患者或临床数据但离线回放为real_data_offline；虚拟、合成或标准化场景为simulation_synthetic；考试题库为education_exam；同时存在两类且均为主要分析对象为mixed；优先按方法和数据来源而非讨论表述判断,方法部分,Cohen_kappa_and_AC1,N
study_design,基本信息,研究设计,paper,nominal,cross_sectional_benchmark|development_validation|randomized_trial|nonrandomized_trial|implementation|mixed_methods|other,all,按主要评价设计而非作者泛称选择,方法部分,Cohen_kappa_and_AC1,N
direct_output_evaluation,基本信息,是否直接评价生成输出,paper,nominal,Y|N|NR,all,Y表示输出正确性质量安全等被直接评价；仅评价学习或工作流效果为N；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法与结局,Cohen_kappa_and_AC1,Y
model_developer_reported,模型身份,开发者报告,paper,nominal,Y|N|NR,all,明确模型开发机构或供应商；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,N
model_name_reported,模型身份,模型名称报告,paper,nominal,Y|N|NR,all,明确到可识别的模型系列或产品；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,Y
model_exact_version_reported,模型身份,精确模型版本报告,paper,nominal,Y|N|NR,all,适用于全部研究。Y：当前研究完整文本或可访问补充材料给出能定位调用模型的API标识、带日期快照、权重提交号或明确主版本；ChatGPT-3.5、ChatGPT-4等明确主版本可计Y。N：作者明确使用了可定位模型但明确未记录版本；NR：只给系列/界面/专有模型名，或明确以专有为由不披露具体模型。访问日期、平台常识或当前供应商网页均不能把NR升级为Y。,方法或附录,Cohen_kappa_and_AC1,Y
model_version_text,模型身份,模型版本摘录,paper,text,free_text,model_exact_version_reported=Y,仅在model_exact_version_reported=Y时逐字摘录版本；多模型按正文首次出现顺序并用分号分隔；适用条件不成立时写NA，不得用NR代替NA,方法或附录,exact_match,N
